CÓDIGO,NOME,CH,REQ,EQV
DCC097,SEMINÁRIO EM COMPUTAÇÃO I,30,VARIÁVEL,
DCC098,SEMINÁRIO EM COMPUTAÇÃO II,30,VARIÁVEL,
DCC099,SEMINÁRIO EM COMPUTAÇÃO III,30,VARIÁVEL,
DCC100,SEMINÁRIO EM COMPUTAÇÃO IV,30,VARIÁVEL,
DCC101,SEMINÁRIO EM COMPUTAÇÃO V,30,VARIÁVEL,
DCC102,SEMINÁRIO EM COMPUTAÇÃO VI,30,VARIÁVEL,
DCC103,SEMINÁRIO EM COMPUTAÇÃO VII,30,VARIÁVEL,
DCC104,SEMINÁRIO EM COMPUTAÇÃO VIII,30,VARIÁVEL,
DCC105,SEMINÁRIO EM COMPUTAÇÃO IX,30,VARIÁVEL,
EADDCC049,ASPECTOS LEGAIS DA INFORMÁTICA,60,--,
CAD014,ADMINISTRAÇÃO E ORGANIZAÇÃO DE EMPRESAS,60,--,
ECO034,ECONOMIA,60,--,
EST030,ANÁLISE EXPLORATÓRIA DE DADOS,60,EST028,
FIN001,CONTABILIDADE GERAL E INTRODUTÓRIA,60,--,
FIS074,FÍSICA II,60,FIS073 MAT156,FIS074E
FIS075,FÍSICA III,60,FIS074 MAT157,
MAC011,INTRODUÇÃO À ENGENHARIA COMPUTACIONAL,30,--,
MAC036,REPRESENTAÇÃO GRÁFICA E MODELAGEM GEOMÉTRICA,30,--,MAC013
MAT013,MATEMÁTICA FINANCEIRA,60,--,
