PERÍODO,CÓDIGO,NOME,CH,REQ,EQV
1,MAT154,CÁLCULO I,60,--,MAT154E
1,MAT155,GEOMETRIA ANALÍTICA E SISTEMAS LINEARES,60,--,MAT155E
1,DCC160,LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO,60,--,MAT067
1,DCC199,ALGORITMOS,90,--,DCC119(E) + DCC120
1,DCC202,DESENVOLVIMENTO WEB,30,--,DCC121 DCC152
1,DCC175,INTRODUÇÃO A CIÊNCIA DA COMPUTAÇÃO,30,--,
2,MAT156,CÁLCULO II,60,MAT154 MAT155,MAT156E
2,MAT158,ÁLGEBRA LINEAR,60,MAT155,MAT158E
2,FIS073,FÍSICA I,60,MAT154,FIS073E
2,FIS077,LABORATÓRIO DE FÍSICA I,30,MAT154,
2,DCC200,ALGORITMOS II,90,DCC199,
2,EXT099,INTRODUÇÃO À EXTENSÃO,60,--,
3,MAT143,INTRODUÇÃO A TEORIA DOS NÚMEROS,60,--,
3,MAT157,CÁLCULO III,60,MAT156,MAT157E
3,DCC013,ESTRUTURA DE DADOS,60,DCC200,
3,DCC025,ORIENTAÇÃO A OBJETOS,60,DCC200,
3,DCC122,CIRCUITOS DIGITAIS,60,--,CEL032
4,MAT029,EQUAÇÕES DIFERENCIAIS I,60,MAT156,MAT029E
4,EST028,INTRODUÇÃO À ESTATÍSTICA,60,MAT154,
4,DCC012,ESTRUTURA DE DADOS II,60,DCC013,
4,DCC070,ORGANIZAÇÃO DE COMPUTADORES,60,DCC122,
4,DCC117,MODELAGEM DE SISTEMAS,60,DCC025,
5,DCC059,TEORIA DOS GRAFOS,60,DCC013,
5,DCC060,BANCO DE DADOS,60,DCC012 DCC117,
5,DCC061,ENGENHARIA DE SOFTWARE,60,DCC117,
5,DCC062,SISTEMAS OPERACIONAIS,60,DCC070,
5,DCC203,METODOLOGIA CIENTÍFICA,30,DCC200,DCC123
5,EADDCC044,INFORMÁTICA E SOCIEDADE,30,--,DCC118
6,DCC008,CALCULO NUMÉRICO,60,DCC199 MAT156,
6,DCC019,LINGUAGEM DE PROGRAMAÇÃO,60,DCC012 DCC025,
6,DCC042,REDES DE COMPUTADORES,60,DCC070,
6,DCC063,LINGUAGENS FORMAIS E AUTÔMATOS,60,DCC013 DCC160 MAT143,
6,DCC163,PESQUISA OPERACIONAL,60,MAT158,DCC024
7,DCC001,ANÁLISE E PROJETO DE ALGORITMOS,60,DCC059 MAT143,
7,DCC014,INTELIGÊNCIA ARTIFICIAL,60,DCC059 DCC160,
7,DCC055,TEORIA DA COMPUTAÇÃO,60,DCC063,
7,DCC065,COMPUTAÇÃO GRÁFICA,60,DCC199 MAT158,
7,EST029,CÁLCULO DE PROBABILIDADE I,60,EST028 MAT156,
8,DCC045,TEORIA DOS COMPILADORES,60,DCC063,
8,DCC064,SISTEMAS DISTRIBUÍDOS,60,DCC062,
8,DCC174,INTERAÇÃO HUMANO-COMPUTADOR,60,DCC061,DCC081
8,DCC204,TRABALHO DE CONCLUSÃO DE CURSO I,30,DCC203 + 1560 HORAS,DCC123
9,DCC075,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,DCC042 MAT143,
9,DCC205,TRABALHO DE CONCLUSÃO DE CURSO II,60,DCC204,DCC110
